2025-02-19 15:10:16,867 p=12012 u=marwiesing n=ansible | changed: [ubuntu-02]
2025-02-19 15:10:16,870 p=12012 u=marwiesing n=ansible | TASK [geerlingguy.docker : Ensure directory exists for /etc/apt/keyrings] ***************************************************************************************************************************************************************************************************************
2025-02-19 15:10:17,202 p=12012 u=marwiesing n=ansible | ok: [ubuntu-02]
2025-02-19 15:10:17,203 p=12012 u=marwiesing n=ansible | ok: [ubuntu-01]
2025-02-19 15:10:17,214 p=12012 u=marwiesing n=ansible | TASK [geerlingguy.docker : Add Docker apt key.] *****************************************************************************************************************************************************************************************************************************************
2025-02-19 15:10:17,710 p=12012 u=marwiesing n=ansible | changed: [ubuntu-01]
2025-02-19 15:10:17,765 p=12012 u=marwiesing n=ansible | changed: [ubuntu-02]
2025-02-19 15:10:17,772 p=12012 u=marwiesing n=ansible | TASK [geerlingguy.docker : Ensure curl is present (on older systems without SNI).] ******************************************************************************************************************************************************************************************************
2025-02-19 15:10:17,838 p=12012 u=marwiesing n=ansible | skipping: [ubuntu-01]
2025-02-19 15:10:17,852 p=12012 u=marwiesing n=ansible | skipping: [ubuntu-02]
2025-02-19 15:10:17,858 p=12012 u=marwiesing n=ansible | TASK [geerlingguy.docker : Add Docker apt key (alternative for older systems without SNI).] *********************************************************************************************************************************************************************************************
2025-02-19 15:10:17,923 p=12012 u=marwiesing n=ansible | skipping: [ubuntu-01]
2025-02-19 15:10:17,930 p=12012 u=marwiesing n=ansible | skipping: [ubuntu-02]
2025-02-19 15:10:17,935 p=12012 u=marwiesing n=ansible | TASK [geerlingguy.docker : Add Docker repository.] **************************************************************************************************************************************************************************************************************************************
2025-02-19 15:10:20,318 p=12012 u=marwiesing n=ansible | changed: [ubuntu-02]
2025-02-19 15:10:20,506 p=12012 u=marwiesing n=ansible | changed: [ubuntu-01]
2025-02-19 15:10:20,509 p=12012 u=marwiesing n=ansible | TASK [geerlingguy.docker : Install Docker packages.] ************************************************************************************************************************************************************************************************************************************
2025-02-19 15:10:20,548 p=12012 u=marwiesing n=ansible | skipping: [ubuntu-01]
2025-02-19 15:10:20,560 p=12012 u=marwiesing n=ansible | skipping: [rocky-01]
2025-02-19 15:10:20,569 p=12012 u=marwiesing n=ansible | skipping: [ubuntu-02]
2025-02-19 15:10:20,610 p=12012 u=marwiesing n=ansible | TASK [geerlingguy.docker : Install Docker packages (with downgrade option).] ************************************************************************************************************************************************************************************************************
2025-02-19 15:10:39,584 p=12012 u=marwiesing n=ansible | changed: [ubuntu-02]
2025-02-19 15:10:40,401 p=12012 u=marwiesing n=ansible | changed: [ubuntu-01]
2025-02-19 15:10:55,180 p=12012 u=marwiesing n=ansible | changed: [rocky-01]
2025-02-19 15:10:55,184 p=12012 u=marwiesing n=ansible | TASK [geerlingguy.docker : Install docker-compose plugin.] ******************************************************************************************************************************************************************************************************************************
2025-02-19 15:10:55,234 p=12012 u=marwiesing n=ansible | skipping: [ubuntu-01]
2025-02-19 15:10:55,261 p=12012 u=marwiesing n=ansible | skipping: [ubuntu-02]
2025-02-19 15:10:55,273 p=12012 u=marwiesing n=ansible | skipping: [rocky-01]
